kanban_id,work_order_id,sales_order_id,part_no,work_center_id,process_id,process_seq,expected_start_time,actual_start_time,produce_status,planned_today_flag,started_today_flag,overdue_not_started_so_far_flag,overdue_4h_not_started_flag,started_on_time_today_flag,started_late_today_flag
S-W-20250930204702796-0007,T20-000965842,S11-250800036^9,30303022,B50063,S1,10,2025-10-28 08:38:07,,0,1,0,1,1,0,0
S-W-20250930204702796-0010,T20-000965847,S11-250800036^9,30303362,B50063,S1,10,2025-10-28 08:38:07,,2,1,0,1,1,0,0
S-W-20250923163752482-0020,T20-000965051,S13-250900019^15,32103275,B50063,S1,10,2025-10-28 08:38:16,,0,1,0,1,1,0,0
S-W-20250923163752482-0041,T20-000965052,S13-250900019^15,32103276,B50063,S1,10,2025-10-28 08:38:16,,0,1,0,1,1,0,0
S-W-20250930204705240-0030,T20-000965136,S11-250800033^1,33703110,B50063,S1,10,2025-10-28 08:48:39,,0,1,0,1,1,0,0
S-W-20250930204758770-0047,T20-000966588,S11-250800026^5,33503071,B50063,S1,10,2025-10-28 08:51:33,,0,1,0,1,1,0,0
S-W-20250930204758770-0051,T20-000966587,S11-250800026^5,33503010,B50063,S1,10,2025-10-28 08:51:33,,2,1,0,1,1,0,0
S-W-20250930204758770-0053,T20-000966586,S11-250800026^5,33503007,B50063,S1,10,2025-10-28 08:51:33,,2,1,0,1,1,0,0
S-W-20250930204708658-0037,T20-000965326,S11-250800033^4,32103074,B50063,S1,10,2025-10-28 08:56:57,,0,1,0,1,1,0,0
S-W-20250930204709348-0037,T20-000965387,S11-250800033^5,32103074,B50063,S1,10,2025-10-28 08:58:10,,0,1,0,1,1,0,0
S-W-20250930204710528-0004,T20-000965494,S11-250800033^7,30303007,B50063,S1,10,2025-10-28 08:59:22,,0,1,0,1,1,0,0
S-W-20250930204710528-0007,T20-000965495,S11-250800033^7,30303022,B50063,S1,10,2025-10-28 08:59:22,,0,1,0,1,1,0,0
S-W-20250930204710528-0010,T20-000965498,S11-250800033^7,30303424,B50063,S1,10,2025-10-28 08:59:22,,2,1,0,1,1,0,0
S-W-20250930204749003-0005,T20-000964709,S11-250900027^4,30300713,B50063,S1,10,2025-10-28 09:02:40,,0,1,0,1,1,0,0
S-W-20250930204749003-0007,T20-000964710,S11-250900027^4,30303101,B50063,S1,10,2025-10-28 09:02:40,,0,1,0,1,1,0,0
S-W-20250930204749003-0010,T20-000964711,S11-250900027^4,30303102,B50063,S1,10,2025-10-28 09:02:40,,0,1,0,1,1,0,0
S-W-20250930204749003-0013,T20-000964712,S11-250900027^4,30303218,B50063,S1,10,2025-10-28 09:02:40,,2,1,0,1,1,0,0
S-W-20250930204749003-0016,T20-000964713,S11-250900027^4,30303219,B50063,S1,10,2025-10-28 09:02:40,,2,1,0,1,1,0,0
S-W-20250930204749003-0019,T20-000964714,S11-250900027^4,30303220,B50063,S1,10,2025-10-28 09:02:40,,2,1,0,1,1,0,0
S-W-20250930204802631-0088,T20-000966093,S11-250900020^1,31003261,B50063,S1,10,2025-10-28 09:11:52,,0,1,0,1,1,0,0
S-W-20250930204800200-0010,T20-000966668,S11-250800026^7,41100043,B50063,S1,10,2025-10-28 09:12:52,,2,1,0,1,1,0,0
S-W-20250925110501802-0002,T20-000963935,S11-250900015^2,41100070,B50063,S1,10,2025-10-28 09:13:49,,0,1,0,1,1,0,0
S-W-20250925110501802-0013,T20-000963922,S11-250900015^2,32103194,B50063,S1,10,2025-10-28 09:13:49,,0,1,0,1,1,0,0
S-W-20250925110501802-0030,T20-000963914,S11-250900015^2,30603094,B50063,S1,10,2025-10-28 09:13:49,,0,1,0,1,1,0,0
S-W-20250930204800200-0013,T20-000966664,S11-250800026^7,30303401,B50063,S1,10,2025-10-28 09:24:55,,0,1,0,1,1,0,0
S-W-20250930204800200-0016,T20-000966663,S11-250800026^7,30303400,B50063,S1,10,2025-10-28 09:24:55,,0,1,0,1,1,0,0
S-W-20250930204800200-0019,T20-000966662,S11-250800026^7,30303399,B50063,S1,10,2025-10-28 09:24:55,,0,1,0,1,1,0,0
S-W-20250930204800200-0024,T20-000966661,S11-250800026^7,30303398,B50063,S1,10,2025-10-28 09:24:55,,0,1,0,1,1,0,0
