kanban_id,work_order_id,sales_order_id,part_no,work_center_id,process_id,process_seq,expected_start_time,actual_start_time,produce_status,planned_today_flag,started_today_flag,overdue_not_started_so_far_flag,started_on_time_today_flag,started_late_today_flag
S-W-20250930204636823-0003,T10-000632570,S11-250900026^2,S542--YLSWB,A005,A005,40,2025-10-21 04:51:16.400,,0,1,0,1,0,0
S-W-20250925110440625-0003,T10-000632558,S11-250900025^2,S542--WRSWB,A005,A005,40,2025-10-21 05:03:41.800,,0,1,0,1,0,0
S-W-20250930204637053-0003,T10-000632558,S11-250900025^2,S542--WRSWB,A005,A005,40,2025-10-21 05:03:41.800,,0,1,0,1,0,0
S-W-20250909182427267-0119,T10-000631581,S11-250800041^1,S344B3BGSW,A005,A005,40,2025-10-21 05:34:27.400,,0,1,0,1,0,0
S-W-20250909182428102-0013,T10-000631582,S11-250800041^2,S344B3DRSW,A005,A005,40,2025-10-21 05:48:40.200,,0,1,0,1,0,0
S-W-20250923163533134-0055,T10-000631822,S11-250800032^1,S846EBSPSW01,A005,A005,40,2025-10-21 05:54:04.600,,0,1,0,1,0,0
S-W-20250909182441179-0094,T10-000632092,S11-250800034^2,S946A3LBSWB,A005,A005,40,2025-10-21 06:48:50.200,,0,1,0,1,0,0
S-W-20250909182440073-0119,T10-000632059,S11-250800034^1,S344B3BGSW,A005,A005,40,2025-10-21 07:22:09.800,,0,1,0,1,0,0
S-W-20250909182444104-0014,T10-000632163,S11-250800034^5,S846C2BGSW,A005,A005,40,2025-10-21 07:22:23.600,,0,1,0,1,0,0
S-W-20250909182443275-0103,T10-000632164,S11-250800034^4,S846C2SPSW,A005,A005,40,2025-10-21 07:42:41.400,,0,1,0,1,0,0
S-W-20250909182444719-0104,T10-000632199,S11-250800034^6,S846EBDGSW01,A005,A005,40,2025-10-21 08:27:34.200,,0,1,0,1,0,0
S-W-20250909182447884-0108,T10-000631897,S11-250800032^3,S941A2LGSW,A005,A005,40,2025-10-21 08:58:50.400,,0,1,0,1,0,0
S-W-20250909182454064-0012,T10-000631821,S11-250800032^11,S846EBBGSW01,A005,A005,40,2025-10-21 09:37:13.000,,0,1,0,1,0,0
S-W-20250909182449111-0094,T10-000631929,S11-250800032^4,S946A4DGSWB,A005,A005,40,2025-10-21 09:41:46.400,,0,1,0,1,0,0
S-W-20250909182445678-0111,T10-000631822,S11-250800032^1,S846EBSPSW01,A005,A005,40,2025-10-21 09:53:43.000,,0,1,0,1,0,0
S-W-20250909182424638-0075,T10-000631444,S11-250800006^2,32200741,A005,A005,40,2025-10-21 12:14:02.600,,0,1,0,1,0,0
S-W-20250916195643052-0102,T10-000631993,S11-250800032^12,S840FBSPSW01,A005,A005,50,2025-10-21 03:56:29.000,,0,1,0,1,0,0
S-W-20250923163533743-0080,T10-000631864,S11-250800032^2,S840GBDRSW2,A005,A005,50,2025-10-21 05:10:21.400,,0,1,0,1,0,0
S-W-20250909182437561-0101,T10-000631735,S11-250800041^14,S840FBSPSW01,A005,A005,50,2025-10-21 05:57:07.200,,0,1,0,1,0,0
S-W-20250909182446700-0112,T10-000631864,S11-250800032^2,S840GBDRSW2,A005,A005,50,2025-10-21 09:09:59.800,,0,1,0,1,0,0
